Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Gene ontology (cellular component)	Gene ontology (biological process)
Q9UBK8	MTRR_HUMAN	reviewed	Methionine synthase reductase (MSR) (EC 1.16.1.8)	MTRR	Homo sapiens (Human)	725	SUBCELLULAR LOCATION: Isoform B: Cytoplasm.; SUBCELLULAR LOCATION: Isoform C: Cytoplasm.; SUBCELLULAR LOCATION: Isoform A: Cytoplasm {ECO:0000269|PubMed:18221906}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intermediate filament cytoskeleton [GO:0045111]; nucleoplasm [GO:0005654]	cobalamin metabolic process [GO:0009235]; DNA methylation [GO:0006306]; folic acid metabolic process [GO:0046655]; homocysteine catabolic process [GO:0043418]; methionine biosynthetic process [GO:0009086]; methionine metabolic process [GO:0006555]; methylation [GO:0032259]; negative regulation of cystathionine beta-synthase activity [GO:1904042]; oxidation-reduction process [GO:0055114]; S-adenosylmethionine cycle [GO:0033353]; sulfur amino acid metabolic process [GO:0000096]
Q8IYQ9	Q8IYQ9_HUMAN	unreviewed	Importin subunit alpha	KPNA3	Homo sapiens (Human)	521		cytoplasm [GO:0005737]; nucleus [GO:0005634]	protein import into nucleus [GO:0006606]
P08708	RS17_HUMAN	reviewed	40S ribosomal protein S17	RPS17 RPS17L	Homo sapiens (Human)	135		cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	erythrocyte homeostasis [GO:0034101]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]
Q14914	PTGR1_HUMAN	reviewed	Prostaglandin reductase 1 (PRG-1) (EC 1.3.1.-) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (NADP-dependent leukotriene B4 12-hydroxydehydrogenase) (EC 1.3.1.74)	PTGR1 LTB4DH	Homo sapiens (Human)	329	SUBCELLULAR LOCATION: Cytoplasm.	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]	leukotriene metabolic process [GO:0006691]; response to toxic substance [GO:0009636]
P20962	PTMS_HUMAN	reviewed	Parathymosin	PTMS	Homo sapiens (Human)	102		cytosol [GO:0005829]; nucleus [GO:0005634]	DNA replication [GO:0006260]; immune system process [GO:0002376]
Q06830	PRDX1_HUMAN	reviewed	Peroxiredoxin-1 (EC 1.11.1.15) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2)	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)	199	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.	cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; melanosome [GO:0042470]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleus [GO:0005634]	cell proliferation [GO:0008283]; cell redox homeostasis [GO:0045454]; erythrocyte homeostasis [GO:0034101]; hydrogen peroxide catabolic process [GO:0042744]; natural killer cell mediated cytotoxicity [GO:0042267]; regulation of NF-kappaB import into nucleus [GO:0042345]; regulation of stress-activated MAPK cascade [GO:0032872]; removal of superoxide radicals [GO:0019430]; response to reactive oxygen species [GO:0000302]; retina homeostasis [GO:0001895]; skeletal system development [GO:0001501]
A8MVA6	A8MVA6_HUMAN		Deleted.						
Q9NYL9	TMOD3_HUMAN	reviewed	Tropomodulin-3 (Ubiquitous tropomodulin) (U-Tmod)	TMOD3	Homo sapiens (Human)	352	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.	cell-cell adherens junction [GO:0005913]; cell-cell junction [GO:0005911]; striated muscle thin filament [GO:0005865]	actin filament organization [GO:0007015]; erythrocyte development [GO:0048821]; muscle contraction [GO:0006936]; myofibril assembly [GO:0030239]; pointed-end actin filament capping [GO:0051694]; positive regulation of mitotic cell cycle phase transition [GO:1901992]
O76003	GLRX3_HUMAN	reviewed	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)	GLRX3 PICOT TXNL2 HUSSY-22	Homo sapiens (Human)	335	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000269|PubMed:10636891}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250}. Note=Under the plasma membrane. After PMA stimulation, GLRX3 and PRKCQ/PKC-theta translocate to a more extended submembrane area. In the Z line, found associated with CSRP3 (By similarity). {ECO:0000250}.	cell cortex [GO:0005938]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; Z disc [GO:0030018]	cell redox homeostasis [GO:0045454]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; regulation of the force of heart contraction [GO:0002026]
P55036	PSMD4_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein)	PSMD4 MCB1	Homo sapiens (Human)	377		cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]	anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
Q6NYC1	JMJD6_HUMAN	reviewed	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR)	JMJD6 KIAA0585 PTDSR	Homo sapiens (Human)	403	SUBCELLULAR LOCATION: Nucleus, nucleoplasm. Nucleus, nucleolus. Note=Mainly found throughout the nucleoplasm outside of regions containing heterochromatic DNA, with some localization in nucleolus. During mitosis, excluded from the nucleus and reappears in the telophase of the cell cycle.	cytosol [GO:0005829]; intracellular ribonucleoprotein complex [GO:0030529]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	cell surface receptor signaling pathway [GO:0007166]; erythrocyte development [GO:0048821]; heart development [GO:0007507]; histone H3-R2 demethylation [GO:0070078]; histone H4-R3 demethylation [GO:0070079]; kidney development [GO:0001822]; lung development [GO:0030324]; macrophage activation [GO:0042116]; mRNA processing [GO:0006397]; peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine [GO:0018395]; recognition of apoptotic cell [GO:0043654]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of transcription, DNA-templated [GO:0006355]; retina development in camera-type eye [GO:0060041]; RNA splicing [GO:0008380]; sprouting angiogenesis [GO:0002040]; T cell differentiation in thymus [GO:0033077]; transcription, DNA-templated [GO:0006351]
Q9NSD9	SYFB_HUMAN	reviewed	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	FARSB FARSLB FRSB HSPC173	Homo sapiens (Human)	589	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; phenylalanine-tRNA ligase complex [GO:0009328]	phenylalanyl-tRNA aminoacylation [GO:0006432]; protein heterotetramerization [GO:0051290]; translation [GO:0006412]; tRNA aminoacylation for protein translation [GO:0006418]
Q5VSQ6	Q5VSQ6_HUMAN	unreviewed	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha polypeptide I variant (Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha polypeptide I, isoform CRA_a) (Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha polypeptide I, isoform CRA_b) (Fragment)	P4HA1 hCG_19276	Homo sapiens (Human)	534		collagen trimer [GO:0005581]; endoplasmic reticulum [GO:0005783]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; procollagen-proline 4-dioxygenase complex [GO:0016222]	collagen fibril organization [GO:0030199]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]
P28070	PSB4_HUMAN	reviewed	Proteasome subunit beta type-4 (EC 3.4.25.1) (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)	PSMB4 PROS26	Homo sapiens (Human)	264	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00809}. Nucleus {ECO:0000250}.	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]	anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; viral process [GO:0016032]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
P63151	2ABA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	PPP2R2A	Homo sapiens (Human)	447		cytosol [GO:0005829]; nucleoplasm [GO:0005654]; protein phosphatase type 2A complex [GO:0000159]	G2/M transition of mitotic cell cycle [GO:0000086]; mitotic nuclear envelope reassembly [GO:0007084]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; protein dephosphorylation [GO:0006470]; response to morphine [GO:0043278]
P62333	PRS10_HUMAN	reviewed	26S protease regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6 SUG2	Homo sapiens (Human)	389	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.	cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear proteasome complex [GO:0031595]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, base subcomplex [GO:0008540]	anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; ubiquitin-dependent protein catabolic process [GO:0006511]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
O75131	CPNE3_HUMAN	reviewed	Copine-3 (Copine III)	CPNE3 CPN3 KIAA0636	Homo sapiens (Human)	537	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20010870, ECO:0000269|PubMed:21087455}. Cytoplasm {ECO:0000269|PubMed:12949241, ECO:0000269|PubMed:20010870, ECO:0000269|PubMed:21087455}. Cell membrane {ECO:0000269|PubMed:20010870, ECO:0000269|PubMed:21087455}. Cell junction {ECO:0000269|PubMed:20010870}. Cell junction, focal adhesion {ECO:0000269|PubMed:20010870}. Note=Associates to the membrane in a calcium-dependent manner (PubMed:20010870). Translocates to the cell membrane and the nucleus in a calcium- or growth factor heregulin-dependent manner (PubMed:21087455, PubMed:20010870). Colocalizes with the tyrosine phosphorylated ERBB2 form at cell membrane and focal adhesions in a calcium- or growth factor heregulin-dependent manner (PubMed:20010870). {ECO:0000269|PubMed:20010870, ECO:0000269|PubMed:21087455}.	cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	cellular response to calcium ion [GO:0071277]; cellular response to growth factor stimulus [GO:0071363]; ERBB2 signaling pathway [GO:0038128]; glycerophospholipid biosynthetic process [GO:0046474]; lipid metabolic process [GO:0006629]; positive regulation of cell migration [GO:0030335]; vesicle-mediated transport [GO:0016192]
Q53RU4	Q53RU4_HUMAN	unreviewed	Putative uncharacterized protein MSH2 (Fragment)	MSH2	Homo sapiens (Human)	586		mismatch repair complex [GO:0032300]	mismatch repair [GO:0006298]
P38646	GRP75_HUMAN	reviewed	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (MOT) (Peptide-binding protein 74) (PBP74)	HSPA9 GRP75 HSPA9B mt-HSP70	Homo sapiens (Human)	679	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:22002106}. Nucleus, nucleolus {ECO:0000269|PubMed:22002106}.	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]; nucleolus [GO:0005730]	cellular response to interleukin-1 [GO:0071347]; erythrocyte differentiation [GO:0030218]; negative regulation of apoptotic process [GO:0043066]; negative regulation of erythrocyte differentiation [GO:0045647]; protein export from nucleus [GO:0006611]; protein folding [GO:0006457]; response to toxic substance [GO:0009636]
Q8NA80	Q8NA80_HUMAN	unreviewed	cDNA FLJ35762 fis, clone TESTI2004793, moderately similar to Homo sapiens NY-REN-2 antigen mRNA		Homo sapiens (Human)	534			
Q2NKY5	Q2NKY5_HUMAN	unreviewed	Tubulin beta chain	TUBB6	Homo sapiens (Human)	447	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|SAAS:SAAS00045381}.	cytoplasm [GO:0005737]; microtubule [GO:0005874]	microtubule-based process [GO:0007017]
Q59EF0	Q59EF0_HUMAN	unreviewed	Delta isoform of regulatory subunit B56, protein phosphatase 2A isoform 1 variant (Fragment)		Homo sapiens (Human)	503		protein phosphatase type 2A complex [GO:0000159]	signal transduction [GO:0007165]
A8K2W7	A8K2W7_HUMAN	unreviewed	cDNA FLJ78119, highly similar to Homo sapiens G1 to S phase transition 1 (GSPT1), mRNA		Homo sapiens (Human)	499			
Q7L2H7	EIF3M_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1)	EIF3M HFLB5 PCID1 GA17 PNAS-125	Homo sapiens (Human)	374	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03012}.	cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]	cytoplasmic translational initiation [GO:0002183]; formation of translation preinitiation complex [GO:0001731]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]
P49588	SYAC_HUMAN	reviewed	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS	Homo sapiens (Human)	968	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03133}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]	alanyl-tRNA aminoacylation [GO:0006419]; cerebellar Purkinje cell layer development [GO:0021680]; endoplasmic reticulum unfolded protein response [GO:0030968]; hair follicle development [GO:0001942]; negative regulation of neuron apoptotic process [GO:0043524]; neuromuscular process controlling balance [GO:0050885]; protein folding [GO:0006457]; response to amino acid [GO:0043200]; tRNA aminoacylation for protein translation [GO:0006418]; tRNA modification [GO:0006400]; tRNA processing [GO:0008033]
Q9H993	ARMT1_HUMAN	reviewed	Protein-glutamate O-methyltransferase (EC 2.1.1.-) (Acidic residue methyltransferase 1)	ARMT1 C6orf211	Homo sapiens (Human)	441			cellular response to DNA damage stimulus [GO:0006974]; methylation [GO:0032259]; regulation of response to DNA damage stimulus [GO:2001020]
P27694	RFA1_HUMAN	reviewed	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	RPA1 REPA1 RPA70	Homo sapiens (Human)	616	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17959650}. Nucleus, PML body {ECO:0000269|PubMed:17959650}. Note=Enriched in PML bodies in cells displaying alternative lengthening of their telomeres. {ECO:0000269|PubMed:17959650}.	DNA replication factor A complex [GO:0005662]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]	base-excision repair [GO:0006284]; DNA damage response, detection of DNA damage [GO:0042769]; DNA-dependent DNA replication [GO:0006261]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair via homologous recombination [GO:0000724]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; G1/S transition of mitotic cell cycle [GO:0000082]; interstrand cross-link repair [GO:0036297]; mismatch repair [GO:0006298]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA gap filling [GO:0006297]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 3'-to lesion [GO:0006295]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; nucleotide-excision repair, preincision complex assembly [GO:0006294]; nucleotide-excision repair, preincision complex stabilization [GO:0006293]; protein sumoylation [GO:0016925]; regulation of cellular response to heat [GO:1900034]; regulation of signal transduction by p53 class mediator [GO:1901796]; telomere maintenance [GO:0000723]; telomere maintenance via recombination [GO:0000722]; transcription-coupled nucleotide-excision repair [GO:0006283]; translesion synthesis [GO:0019985]
P27695	APEX1_HUMAN	reviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 3.1.-.-) (EC 4.2.99.18) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) lyase, mitochondrial]	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	318	SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus. Nucleus speckle. Endoplasmic reticulum. Cytoplasm. Note=Detected in the cytoplasm of B-cells stimulated to switch (By similarity). Colocalized with SIRT1 in the nucleus. Colocalized with YBX1 in nuclear speckles after genotoxic stress. Together with OGG1 is recruited to nuclear speckles in UVA-irradiated cells. Colocalized with nucleolin and NPM1 in the nucleolus. Its nucleolar localization is cell cycle dependent and requires active rRNA transcription. Colocalized with calreticulin in the endoplasmic reticulum. Translocation from the nucleus to the cytoplasm is stimulated in presence of nitric oxide (NO) and function in a CRM1-dependent manner, possibly as a consequence of demasking a nuclear export signal (amino acid position 64-80). S-nitrosylation at Cys-93 and Cys-310 regulates its nuclear-cytosolic shuttling. Ubiquitinated form is localized predominantly in the cytoplasm. {ECO:0000250}.; SUBCELLULAR LOCATION: DNA-(apurinic or apyrimidinic site) lyase, mitochondrial: Mitochondrion. Note=The cleaved APEX2 is only detected in mitochondria (By similarity). Translocation from the cytoplasm to the mitochondria is mediated by ROS signaling and cleavage mediated by granzyme A. Tom20-dependent translocated mitochondrial APEX1 level is significantly increased after genotoxic stress. {ECO:0000250}.	centrosome [GO:0005813]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nuclear chromosome, telomeric region [GO:0000784]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribosome [GO:0005840]; transcription factor complex [GO:0005667]	aging [GO:0007568]; base-excision repair [GO:0006284]; base-excision repair, base-free sugar-phosphate removal [GO:0006286]; cell redox homeostasis [GO:0045454]; cellular response to cAMP [GO:0071320]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to peptide hormone stimulus [GO:0071375]; DNA demethylation [GO:0080111]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; negative regulation of smooth muscle cell migration [GO:0014912]; positive regulation of DNA repair [GO:0045739]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; regulation of mRNA stability [GO:0043488]; regulation of transcription, DNA-templated [GO:0006355]; response to drug [GO:0042493]; telomere maintenance [GO:0000723]; transcription, DNA-templated [GO:0006351]
A7YQ73	A7YQ73_HUMAN	unreviewed	FKBP9 protein (Fragment)	FKBP9	Homo sapiens (Human)	147			protein folding [GO:0006457]
Q59ET0	Q59ET0_HUMAN	unreviewed	Glucan, branching enzyme 1 variant (Fragment)		Homo sapiens (Human)	754			glycogen biosynthetic process [GO:0005978]
P55809	SCOT1_HUMAN	reviewed	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s)	OXCT1 OXCT SCOT	Homo sapiens (Human)	520	SUBCELLULAR LOCATION: Mitochondrion matrix.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	adipose tissue development [GO:0060612]; brain development [GO:0007420]; cellular ketone body metabolic process [GO:0046950]; heart development [GO:0007507]; ketone body catabolic process [GO:0046952]; ketone catabolic process [GO:0042182]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; response to activity [GO:0014823]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to hormone [GO:0009725]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]
B2R6N0	B2R6N0_HUMAN	unreviewed	cDNA, FLJ93029, highly similar to Homo sapiens COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis) (COPS2), mRNA		Homo sapiens (Human)	443			
Q16543	CDC37_HUMAN	reviewed	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	CDC37 CDC37A	Homo sapiens (Human)	378	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9482106}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; HSP90-CDC37 chaperone complex [GO:1990565]	ERBB2 signaling pathway [GO:0038128]; mitophagy in response to mitochondrial depolarization [GO:0098779]; posttranscriptional regulation of gene expression [GO:0010608]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of interferon-gamma-mediated signaling pathway [GO:0060334]; regulation of type I interferon-mediated signaling pathway [GO:0060338]
O00232	PSD12_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12	Homo sapiens (Human)	456		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear proteasome complex [GO:0031595]; nucleoplasm [GO:0005654]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome regulatory particle, lid subcomplex [GO:0008541]	anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
Q5T4B6	Q5T4B6_HUMAN		Deleted.						
Q5H909	Q5H909_HUMAN	unreviewed	Melanoma-associated antigen D2	MAGED2	Homo sapiens (Human)	588			
